model,model_display,train_set,synthetic_ratio,test_set,label_scope,precision_micro,recall_micro,f1_micro,tp,fp,fn,job_id,log_path,result_path,model_dirs
klue_roberta_large,KLUE RoBERTa-large,kdpii_full,0,combined,common18,0.9168,0.9266,0.9217,7287,661,577,eval__klue_roberta_large__kdpii_full__combined__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__kdpii_full__combined__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_kdpii_full_to_combined_common18_20260717_111524.md,/data/team/hwan/models/klue_roberta_large/seed42
klue_roberta_large,KLUE RoBERTa-large,kdpii_full,0,combined,full19,0.9166,0.9267,0.9216,7296,664,577,eval__klue_roberta_large__kdpii_full__combined__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__kdpii_full__combined__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_kdpii_full_to_combined_full19_20260717_111442.md,/data/team/hwan/models/klue_roberta_large/seed42
klue_roberta_large,KLUE RoBERTa-large,kdpii_full,0,kdpii,common18,0.9683,0.9676,0.968,1315,43,44,eval__klue_roberta_large__kdpii_full__kdpii__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__kdpii_full__kdpii__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_kdpii_full_to_kdpii_common18_20260717_111551.md,/data/team/hwan/models/klue_roberta_large/seed42
klue_roberta_large,KLUE RoBERTa-large,kdpii_full,0,kdpii,full19,0.9678,0.9678,0.9678,1324,44,44,eval__klue_roberta_large__kdpii_full__kdpii__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__kdpii_full__kdpii__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_kdpii_full_to_kdpii_full19_20260717_111537.md,/data/team/hwan/models/klue_roberta_large/seed42
klue_roberta_large,KLUE RoBERTa-large,kdpii_full,0,synthetic,common18,0.9062,0.9181,0.9121,5972,618,533,eval__klue_roberta_large__kdpii_full__synthetic__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__kdpii_full__synthetic__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_kdpii_full_to_synthetic_common18_20260717_111359.md,/data/team/hwan/models/klue_roberta_large/seed42
klue_roberta_large,KLUE RoBERTa-large,kdpii_full,0,synthetic,full19,0.9059,0.9181,0.912,5972,620,533,eval__klue_roberta_large__kdpii_full__synthetic__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__kdpii_full__synthetic__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_kdpii_full_to_synthetic_full19_20260717_111325.md,/data/team/hwan/models/klue_roberta_large/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn025,0.25,combined,common18,0.9857,0.9546,0.9699,7507,109,357,eval__klue_roberta_large__mix_syn025__combined__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn025__combined__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn025_to_combined_common18_20260717_085240.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn025/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn025,0.25,combined,full19,0.9856,0.9547,0.9699,7516,110,357,eval__klue_roberta_large__mix_syn025__combined__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn025__combined__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn025_to_combined_full19_20260717_085157.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn025/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn025,0.25,kdpii,common18,0.9662,0.9669,0.9665,1314,46,45,eval__klue_roberta_large__mix_syn025__kdpii__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn025__kdpii__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn025_to_kdpii_common18_20260717_085306.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn025/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn025,0.25,kdpii,full19,0.9657,0.9671,0.9664,1323,47,45,eval__klue_roberta_large__mix_syn025__kdpii__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn025__kdpii__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn025_to_kdpii_full19_20260717_085253.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn025/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn025,0.25,synthetic,common18,0.9899,0.952,0.9706,6193,63,312,eval__klue_roberta_large__mix_syn025__synthetic__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn025__synthetic__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn025_to_synthetic_common18_20260717_085115.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn025/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn025,0.25,synthetic,full19,0.9899,0.952,0.9706,6193,63,312,eval__klue_roberta_large__mix_syn025__synthetic__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn025__synthetic__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn025_to_synthetic_full19_20260717_085041.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn025/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn050,0.5,combined,common18,0.9885,0.9519,0.9699,7486,87,378,eval__klue_roberta_large__mix_syn050__combined__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn050__combined__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn050_to_combined_common18_20260717_092148.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn050/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn050,0.5,combined,full19,0.9885,0.952,0.9699,7495,87,378,eval__klue_roberta_large__mix_syn050__combined__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn050__combined__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn050_to_combined_full19_20260717_092105.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn050/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn050,0.5,kdpii,common18,0.9742,0.9463,0.9601,1286,34,73,eval__klue_roberta_large__mix_syn050__kdpii__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn050__kdpii__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn050_to_kdpii_common18_20260717_092214.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn050/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn050,0.5,kdpii,full19,0.9744,0.9466,0.9603,1295,34,73,eval__klue_roberta_large__mix_syn050__kdpii__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn050__kdpii__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn050_to_kdpii_full19_20260717_092201.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn050/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn050,0.5,synthetic,common18,0.9915,0.9531,0.9719,6200,53,305,eval__klue_roberta_large__mix_syn050__synthetic__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn050__synthetic__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn050_to_synthetic_common18_20260717_092023.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn050/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn050,0.5,synthetic,full19,0.9915,0.9531,0.9719,6200,53,305,eval__klue_roberta_large__mix_syn050__synthetic__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn050__synthetic__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn050_to_synthetic_full19_20260717_091948.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn050/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn100,1.0,combined,common18,0.9856,0.9589,0.9721,7541,110,323,eval__klue_roberta_large__mix_syn100__combined__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn100__combined__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn100_to_combined_common18_20260717_102109.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn100/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn100,1.0,combined,full19,0.9856,0.959,0.9721,7550,110,323,eval__klue_roberta_large__mix_syn100__combined__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn100__combined__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn100_to_combined_full19_20260717_102027.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn100/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn100,1.0,kdpii,common18,0.9488,0.9676,0.9581,1315,71,44,eval__klue_roberta_large__mix_syn100__kdpii__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn100__kdpii__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn100_to_kdpii_common18_20260717_102136.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn100/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn100,1.0,kdpii,full19,0.9491,0.9678,0.9584,1324,71,44,eval__klue_roberta_large__mix_syn100__kdpii__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn100__kdpii__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn100_to_kdpii_full19_20260717_102123.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn100/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn100,1.0,synthetic,common18,0.9938,0.9571,0.9751,6226,39,279,eval__klue_roberta_large__mix_syn100__synthetic__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn100__synthetic__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn100_to_synthetic_common18_20260717_101945.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn100/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn100,1.0,synthetic,full19,0.9938,0.9571,0.9751,6226,39,279,eval__klue_roberta_large__mix_syn100__synthetic__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn100__synthetic__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn100_to_synthetic_full19_20260717_101910.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn100/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn_all,all,combined,common18,0.9882,0.9575,0.9726,7530,90,334,eval__klue_roberta_large__mix_syn_all__combined__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn_all__combined__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn_all_to_combined_common18_20260717_111224.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn_all/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn_all,all,combined,full19,0.9882,0.9576,0.9726,7539,90,334,eval__klue_roberta_large__mix_syn_all__combined__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn_all__combined__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn_all_to_combined_full19_20260717_111142.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn_all/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn_all,all,kdpii,common18,0.968,0.9558,0.9619,1299,43,60,eval__klue_roberta_large__mix_syn_all__kdpii__common18,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn_all__kdpii__common18.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn_all_to_kdpii_common18_20260717_111251.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn_all/seed42
klue_roberta_large,KLUE RoBERTa-large,mix_syn_all,all,kdpii,full19,0.9682,0.9561,0.9621,1308,43,60,eval__klue_roberta_large__mix_syn_all__kdpii__full19,/data/team/hwan/real/logs/jobs/eval__klue_roberta_large__mix_syn_all__kdpii__full19.log,/data/team/hwan/results/ensemble_vote/eval_vote_test_real_klue_roberta_large_mix_syn_all_to_kdpii_full19_20260717_111237.md,/data/team/hwan/real/models/klue_roberta_large/mix_syn_all/seed42
