sha256	source_path	public_path	size_bytes
76624c55785dd31439d14f81b66c2ea8e4493ac11864eda6bf1d521d4eb54d9b	pii/real/results/failed_jobs.json	experiment_audit_trail_raw/pii/raw_real_results/failed_jobs.json	85
ce786b31c5f1fdb8ddb8e48b63451801206f47202624ec0ae998214246b4ad4e	pii/real/results/summary_real_prf_pivot.csv	experiment_audit_trail_raw/pii/raw_real_results/summary_real_prf_pivot.csv	8568
578d431804cb317eecce37f8c65505d7cd77fbb8ab3d3fb482e44d37707c77f4	pii/real/results/failed_jobs.txt	experiment_audit_trail_raw/pii/raw_real_results/failed_jobs.txt	16
89fd1af74799df586bf0e593c6f12bec735c24971f16c44dd0a06840afc3a399	pii/real/results/summary_real_f1_pivot.csv	experiment_audit_trail_raw/pii/raw_real_results/summary_real_f1_pivot.csv	3153
997cc907b33d331c9d16218cf922b6d017220534ba1ca74bc3fecdc6096b75b4	pii/real/results/summary_real_long.csv	experiment_audit_trail_raw/pii/raw_real_results/summary_real_long.csv	87904
cae299bebdd6054370a80f3d66d4afde4cdb5c3291696a948d4b4d8a831ac4c6	pii/real/results/metrics/eval__skt_crf_gaz_x3__mix_syn025__combined__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_crf_gaz_x3__mix_syn025__combined__common18.json	839
6b7cfbb2f8d916cf013ced4a97d1b5ca693af83acab0097b2371ee7cb8fa4fd2	pii/real/results/metrics/eval__skt_encoder_baseline__mix_syn100__synthetic__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_encoder_baseline__mix_syn100__synthetic__common18.json	739
e14436c2032d7d2b7bbcdfb567c55063d9a61f530cab39374a8f2caeba0b3f32	pii/real/results/metrics/eval__klue_roberta_large__mix_syn100__kdpii__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__klue_roberta_large__mix_syn100__kdpii__full19.json	706
a9bd095f97135f1746fd33a53caca01c0875ca8f71ee710f279d41aac7160e2f	pii/real/results/metrics/eval__microsoft_presidio_spacy_regex__none__combined__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__microsoft_presidio_spacy_regex__none__combined__full19.json	694
2e51a386396e66203e18e4c0892be9ef71e2927680df484c99f5b40d895c2650	pii/real/results/metrics/eval__openai_privacy_filter_lora__synthetic_only__kdpii__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__openai_privacy_filter_lora__synthetic_only__kdpii__common18.json	793
4482461fddc25ecc3ec79fbac356156d649ba937b192424979741a0c5cbdc74c	pii/real/results/metrics/eval__skt_crf_gaz_x3__mix_syn_all__combined__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_crf_gaz_x3__mix_syn_all__combined__full19.json	838
f69915f579592e5db25cd94813899d71aa5dfdd32843a567f4077ec46989be01	pii/real/results/metrics/eval__skt_crf_gaz_x3__mix_syn_all__combined__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_crf_gaz_x3__mix_syn_all__combined__common18.json	846
6bfce6a6091e47e6d8e4ba846660b8aedefa8c0a7b616890f3210308aa58d54d	pii/real/results/metrics/eval__klue_roberta_large__mix_syn_all__synthetic__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__klue_roberta_large__mix_syn_all__synthetic__common18.json	736
9b33543cdf68dddd00d501b2873c6431da789808035c6402fcc2852b8b335809	pii/real/results/metrics/eval__openai_privacy_filter_lora__mix_syn_all__synthetic__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__openai_privacy_filter_lora__mix_syn_all__synthetic__common18.json	795
e311da2470507440f840615202c5a9ec2a87497dcc88058e3a5ffbb5e76d2889	pii/real/results/metrics/eval__skt_encoder_baseline__mix_syn_all__combined__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_encoder_baseline__mix_syn_all__combined__full19.json	732
96aed997a19f9843b2a7da57a00cd9ebe8f4143ec420fe0486aec72c4a1cf4f8	pii/real/results/metrics/eval__xlm_roberta_large__synthetic_only__kdpii__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__xlm_roberta_large__synthetic_only__kdpii__common18.json	723
aba7569e62ae61eb88549aaaefcc99e5ca352819ad2b5d87b95aef1bcc41ed6c	pii/real/results/metrics/eval__xlm_roberta_large__kdpii_full__kdpii__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__xlm_roberta_large__kdpii_full__kdpii__full19.json	676
e820840c6dc36c5dd9e8c82566ddcad4dd36ac6d7a4195ece4b487629e2b0acd	pii/real/results/metrics/eval__skt_encoder_baseline__mix_syn_all__synthetic__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_encoder_baseline__mix_syn_all__synthetic__common18.json	742
3b0e80d051f8b634e1517cd3a78c5f6866cbd69139b2ce141fceebaa358f7233	pii/real/results/metrics/eval__xlm_roberta_large__mix_syn050__kdpii__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__xlm_roberta_large__mix_syn050__kdpii__full19.json	694
974a3cb2eb39038bb4882c004947b3ba53d437a135365153f9e46993c8a05902	pii/real/results/metrics/eval__skt_encoder_baseline__mix_syn_all__kdpii__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_encoder_baseline__mix_syn_all__kdpii__common18.json	727
089b18cb479603311cd64232578d48fcc3024d4ccabd5fe64ac6d859119f16d5	pii/real/results/metrics/eval__klue_roberta_large__mix_syn100__kdpii__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__klue_roberta_large__mix_syn100__kdpii__common18.json	714
fab4f5036fd3b7aa220318f448234d316f15ce5f340e643d6b2021297ace3b8c	pii/real/results/metrics/eval__skt_encoder_baseline__mix_syn_all__synthetic__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_encoder_baseline__mix_syn_all__synthetic__full19.json	734
294f02b2c82426a8879e67a8fe6eb3a232d761b510bb9c05cb321ad7ff9aec32	pii/real/results/metrics/eval__openai_privacy_filter_lora__synthetic_only__synthetic__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__openai_privacy_filter_lora__synthetic_only__synthetic__common18.json	811
81d6e23dc38fe4900e2d98717e11cb8f62ce1c369468ff9744e439dc548995fd	pii/real/results/metrics/eval__xlm_roberta_large__mix_syn050__synthetic__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__xlm_roberta_large__mix_syn050__synthetic__common18.json	719
e761d6d95dbdf5d156ac0b2dbefbdb99984ded62a4ebb8e3d115feb2472de24c	pii/real/results/metrics/eval__openai_privacy_filter_lora__synthetic_only__kdpii__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__openai_privacy_filter_lora__synthetic_only__kdpii__full19.json	784
e62b0609b002d4f35baff15d2d82b298eb0bfdd31409968c3e28cbfe2e70c94b	pii/real/results/metrics/eval__xlm_roberta_large__mix_syn025__kdpii__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__xlm_roberta_large__mix_syn025__kdpii__common18.json	703
d96ba0a8c701c0a8a6bf1574a129b001b14691c70b294081bb2387fdb043e779	pii/real/results/metrics/eval__xlm_roberta_large__synthetic_only__combined__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__xlm_roberta_large__synthetic_only__combined__full19.json	729
5b554c468b0d00b67ab41da690a3af293e08e135b1d2cf10b783f304a1f3e98e	pii/real/results/metrics/eval__openai_privacy_filter_lora__mix_syn050__synthetic__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__openai_privacy_filter_lora__mix_syn050__synthetic__common18.json	790
5acf0df56dd0d30ff872f3db467ad848404affa5c770fde2e66a08efeb16f8ff	pii/real/results/metrics/eval__klue_roberta_large__synthetic_only__synthetic__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__klue_roberta_large__synthetic_only__synthetic__full19.json	744
53d37bfb1fbaaa1b70fadedbb07a4eaf6b5bd0b881d668581f1ef209a69beea1	pii/real/results/metrics/eval__openai_privacy_filter_lora__mix_syn_all__synthetic__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__openai_privacy_filter_lora__mix_syn_all__synthetic__full19.json	787
d9deeb71166029d9b60ec3d3a75da8336207379e6baea791cc4ba3aa91e0555d	pii/real/results/metrics/eval__skt_crf_gaz_x3__mix_syn100__synthetic__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_crf_gaz_x3__mix_syn100__synthetic__common18.json	843
ed27c3f66f6b60363eb3792c4e58c3d6844db3e80324b3683ef2a5ecddd496b4	pii/real/results/metrics/eval__skt_encoder_baseline__mix_syn_all__combined__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_encoder_baseline__mix_syn_all__combined__common18.json	740
4c443595f472ea3330a900586e8746f42f72c93bf5fdac3799f46071d4d46bf8	pii/real/results/metrics/eval__klue_roberta_large__mix_syn025__kdpii__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__klue_roberta_large__mix_syn025__kdpii__full19.json	707
dce58495ade3f857a85763156acca7894f6dfbd861046c13cf238e6a8021fb7d	pii/real/results/metrics/eval__openai_privacy_filter_lora__kdpii_full__synthetic__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__openai_privacy_filter_lora__kdpii_full__synthetic__common18.json	773
bcade7314d12c9a04627ae91fef637bdab89ff7f4100139e5a9cd4077da7c664	pii/real/results/metrics/eval__klue_roberta_large__mix_syn025__kdpii__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__klue_roberta_large__mix_syn025__kdpii__common18.json	715
a3c98085a70a8c4ad9c93f6642276436c0915e515dc06c2b750f565d76a9f162	pii/real/results/metrics/eval__skt_encoder_baseline__synthetic_only__combined__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_encoder_baseline__synthetic_only__combined__full19.json	747
474aa44242ebba3e355cf094d63ca9ec073c256833b2651444bb46776ffedbe5	pii/real/results/metrics/eval__skt_crf_gaz_x3__kdpii_full__kdpii__common18.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_crf_gaz_x3__kdpii_full__kdpii__common18.json	824
71ea84404c575182e9473a8c686edb6eac96982a2969129f50f17d9ae26c4136	pii/real/results/metrics/eval__skt_encoder_baseline__synthetic_only__synthetic__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_encoder_baseline__synthetic_only__synthetic__full19.json	751
85124e32b1747dfcb5661cfc16186d725c3c725e3fa55bf5e01c134fe9997bfd	pii/real/results/metrics/eval__skt_encoder_baseline__mix_syn100__combined__full19.json	experiment_audit_trail_raw/pii/raw_real_results/metrics/eval__skt_encoder_baseline__mix_syn100__combined__full19.json	728
